Hot Peppers,,,,
Ingredients,,,,
Manufacturers,,,,
Recipes,,,,
Cultivars,,,,
Reviews,,,,
Flavors,,,,
Hot Pepper Common Name ↕,Avg SHU ↕,# of Recipes ↕,Origin Country,Cultivar
Habanero Pepper Extract,"2,25,000",1,Mexico,Capsicum Chinense
Habanero Pepper Mash (Orange),"2,25,000",2,Mexico,Capsicum Chinense
Habanero Pepper Mash (Red),"2,25,000",4,Mexico,Capsicum Chinense
Habanero Pepper Mash (Smoked),"2,25,000",1,Mexico,Capsicum Chinense
Habanero Peppers (Fresh Ripened),"2,25,000",2,Brazil,
Habanero Peppers (Organic Ripened),"2,25,000",2,Brazil,
Habanero Peppers (Rican Red),"2,25,000",1,Mexico,Capsicum Chinense
Habanero Puree Pepper,N/A,1,Brazil,
Hainan Yellow Lantern Pepper,"2,25,000",0,,
Hari Mirch Pepper,"22,500",0,,
Hatch Chile Pepper,"3,000",4,,
Hawaiian Akua Peppers,"75,000",1,United States of America,
Hawaiian Pepper,"60,000",1,United States of America,Capsicum Frutescens
Hawaiian Sweet Hot Pepper,"3,000",0,United States of America,Capsicum Annuum
Hermosillo Pepper,"50,000",0,,
Hidalgo Chile Pepper,"13,000",0,,
Hinkelhatz Pepper,"17,500",0,,
Ho Chi Minh Pepper,"17,500",0,,
Holiday Cheer Pepper,"10,000",0,,
Holy Mole Pepper,"1,750",0,,
Hornet Pepper,N/A,1,,
Hot Apple Pepper,"21,000",0,,
Hot Chile Peppers,N/A,1,,
Hot Golden Nugget Pepper,"27,500",0,,
Hot Paper Lantern Pepper,"2,50,000",1,,
Hot Pepper (Assorted),N/A,4,,
Hot Pepper (Generic),N/A,30,,
Hot Pepper Extract,N/A,12,,
Hot Portugal Pepper,"50,000",0,,
Huachinango Pepper,"10,000",0,Mexico,Capsicum Annuum
Huatulco Puntado Pepper,"17,500",0,,
Hungarian Black Pepper,"1,300",0,Hungary,Capsicum Annuum
Hungarian Cherry Pepper,"15,000",0,Hungary,Capsicum Annuum
Hungarian Hot Wax Pepper,"7,500",0,Hungary,Capsicum Annuum
Imported Peppers,N/A,1,,
Inca Berry Pepper,"17,500",0,,
Inca Chili Pepper,"17,500",0,,
Inca Glow Pepper,"17,500",0,,
Inca Laranja Pepper,"17,500",0,,
Inca Red Drop Pepper,"17,500",0,,
Inchanga Pepper,"5,000",0,,
Indian Jwala Pepper,"25,000",0,,
Inferno Pepper,"5,000",0,,
Infinity Chili Pepper,"10,67,286",0,United Kingdom,
Isleta Pepper,"5,000",0,,
Italian Long Hots Pepper,550,0,,
Italian Sweet Pepper,50,0,,
Jalafuego Pepper,"5,000",0,,
Jalapeno (Biker Billy) Pepper,"10,000",0,United States of America,Capsicum Annuum
Jalapeno (Red Applewood Smoked) Pepper,"5,250",1,Mexico,Capsicum Annuum
Jalapeno Chilies Pepper,"3,550",6,Mexico,
Jalapeno Mash Pepper,N/A,8,Mexico,Capsicum Annuum
Jalapeño Pepper,"5,250",195,Mexico,Capsicum Annuum
Jalapeno Pepper (Green),"3,550",7,Mexico,Capsicum Annuum
Jalapeño Pepper (Purple),"6,250",0,Mexico,Capsicum Annuum
Jalapeño Pepper (Red),N/A,28,Mexico,Capsicum Annuum
Jalapeno Pepper (Roasted),"3,550",2,Mexico,Capsicum Annuum
Jalapeno Peppers (Red Ripe),"3,550",3,Mexico,Capsicum Annuum
Jalapeno Peppers (Smoked),"3,550",2,Mexico,Capsicum Annuum
Jalapeno Powder Pepper,"3,550",4,Mexico,Capsicum Annuum
Jalapeno Puree Pepper,"3,550",2,Mexico,Capsicum Annuum
Jalapeno Seasoning Pepper,N/A,1,Mexico,Capsicum Annuum
Jalapenos Peppers (Red Ripened),"3,550",4,Mexico,Capsicum Annuum
Jalora Pepper (Yellow Jalapeno),"6,250",0,Mexico,Capsicum Annuum
Jamaican Gold Pepper,"1,50,000",0,Jamaica,Capsicum Annuum
Jamaican Hot Pepper - Chocolate,"4,00,000",0,Jamaica,Capsicum Chinense
Jamaican Hot Pepper - Red,"2,00,000",1,Jamaica,Capsicum Chinense
Jamaican Hot Pepper - Yellow,"1,00,000",0,Jamaica,Capsicum Annuum
Jamaican Pimento Pepper,N/A,1,Jamaica,
Jamaican Scotch Bonnets Pepper,"2,40,000",2,Jamaica,
Japones Chili Pepper,"22,500",0,,
Jarales Pepper,"15,000",0,,
Jay's Peach Ghost Scorpion Peppers,"9,50,000",1,United States of America,Capsicum Chinense
Jay's Red Ghost Scorpion Pepper Seeds,"10,41,427",1,,
Jigsaw Pepper,"18,50,000",1,,
Jolokia Chile Peppers,"10,41,427",2,,
Jolokia Chili Pepper Powder,"10,41,427",1,India,Capsicum Chinense Capsicum Frutescens
Jolokia Pepper Mash,"10,41,427",1,India,Capsicum Chinense Capsicum Frutescens
Jolokia Peppers,N/A,7,,
Jwala Finger Hot Pepper,"25,000",1,,
Kalia Pepper,"5,000",0,,
Karlo Pepper,500,0,,
Kashmiri Mirch Pepper,"1,750",0,,
Kerinting Pepper,"5,000",0,,Capsicum Annuum
Keystone Giant Pepper,0,0,,
Kim Chi Pepper,"30,000",0,,
Komodo Dragon Pepper,"14,00,000",0,,
Kori Sitakame Pepper,"5,000",0,,
Kumataka Pepper,"1,37,500",0,,
Kung Pao Pepper,"10,000",0,,
Kurnool Pepper,"50,000",0,,
Lemon Pepper,N/A,2,,
Little Elf Pepper,"25,000",0,,
Lumbre Hot Pepper,"22,500",0,,
Lurin Pepper,N/A,0,Peru,Capsicum Flexuosum
Madame Jeanette Pepper,"2,25,000",0,,
Malagueta Pepper,"80,000",0,,
Manganji Pepper,100,0,Japan,Capsicum Annuum
Manzano Pepper,"21,000",0,,
Manzano Pepper (Orange),"50,000",0,,
Maras Biber Pepper,"50,000",1,,
Marbles Pepper,"50,000",0,,
Mariachi Pepper,"1,250",0,,
Mayan Cobanero Love Pepper,"75,000",0,,
Mcmahon’S Texas Bird Pepper,"50,000",0,,
Medusa Pepper,501,0,,
Medusa’S Head Pepper,"50,000",0,,
Melrose Pepper,50,0,,
Merah Pepper,"30,000",0,,
Mesilla Cayenne Chiles Pepper,N/A,1,French Guiana,Capsicum Annuum
Mesilla Pepper,"4,500",0,,
Mexi-Bell Pepper,550,0,,
Mirabile Pepper,N/A,0,Brazil,Capsicum Mirabile
Mirasol Pepper,"2,000",0,,
Mitla Pepper,"8,000",0,,
Mixed Chillies Pepper,N/A,9,,
Morita Pepper (Dried),"6,250",1,Mexico,
Moruga Scorpion Chillies Pepper,"12,00,000",11,Trinidad and Tobago,Capsicum Chinense
Moruga Scorpion Pepper Mash,"12,00,000",1,Trinidad and Tobago,Capsicum Chinense
Moruga Scorpion Pepper Seeds,"12,00,000",1,Trinidad and Tobago,Capsicum Chinense
Moruga Scorpion Peppers (Red),"12,00,000",1,Trinidad and Tobago,Capsicum Chinense
Mulato Chile Pepper,"2,750",0,,
Nadapeno Pepper,0,2,,Capsicum Annuum
Naga Bhut Jolokia Peppers,"10,41,427",1,India,Capsicum Chinense Capsicum Frutescens
Naga Jolokia (Ghost Pepper),"10,41,427",15,India,Capsicum Chinense Capsicum Frutescens
Naga Jolokia Powder Pepper,N/A,2,India,Capsicum Chinense Capsicum Frutescens
Naga Morich Pepper,"12,99,114",0,Bangladesh,
Naga Viper Pepper,"13,82,118",3,United Kingdom,Capsicum Chinense
Nagabon Jolokia Pepper,"7,75,000",0,Australia,Capsicum Chinense
Nagabon Pepper,"7,75,000",0,Australia,Capsicum Chinense Capsicum Frutescens
Natural Pepper Flavor,N/A,6,,
Natural Spices Pepper,N/A,4,,
New Delhi Long Pepper,"30,000",0,,
New Mexican Anaheim Pepper,"2,750",0,United States of America,
New Mexican Chiles Pepper,"70,000",1,Mexico,Capsicum Annuum
New Mexico Chile Pepper,N/A,3,United States of America,
New Mexico Green Chile Peppers,"35,000",1,Mexico,Capsicum Annuum
Nosegay Pepper,"5,000",0,,
Numex Big Jim Pepper,550,0,United States of America,Capsicum Annuum
Numex Centennial Pepper,"3,000",0,United States of America,Capsicum Annuum
Numex Chile Pepper,"70,000",2,United States of America,
Numex Española Improved Pepper,"2,750",0,United States of America,Capsicum Annuum
Numex Heritage 6-4 Pepper,"4,000",0,United States of America,Capsicum Annuum
Numex Joe E. Parker Pepper,"2,750",0,United States of America,Capsicum Annuum
Numex R Naky Pepper,500,0,United States of America,Capsicum Annuum
Numex Red Chile Powder Pepper,N/A,1,United States of America,Capsicum Annuum
Numex Twilight Pepper,"40,000",0,United States of America,Capsicum Annuum
Numex Xx Pepper,"65,000",0,United States of America,Capsicum Annuum
Ob Smoked Chilli Puree Pepper,N/A,1,,
Oleoresin Capsicum (3 Million Scoville) Pepper,N/A,1,,
Oleoresin Capsicum Pepper,N/A,11,,
Oleoresin Cayenne Pepper,"40,000",16,India,Capsicum Annuum
Oleoresin Paprika Pepper,N/A,8,,
Onza Roja Pepper,"20,000",0,,
Onza Yellow Pepper,"15,000",0,,
Orange Habanero Pepper,"2,25,000",5,Brazil,
Organic Peppers,N/A,1,,
Organic Red Ripened Jalapeno Peppers,N/A,2,Mexico,Capsicum Annuum
Orozco Pepper,"30,000",0,,
Padron Pepper,"1,500",2,,
Paprika (Smoked & Sweet) Pepper,N/A,1,,Capsicum Annuum
Paprika (Sweet) Pepper,N/A,1,,
Paprika Chile Pepper,625,0,,
Paprika Extract Pepper,N/A,1,,Capsicum Annuum
Paprika Pepper,N/A,41,,
Paprika Supreme Pepper,125,0,,
Pasilla Bajio Pepper,"1,125",0,Mexico,
Pasilla De Oaxaca Chili Pepper,"7,000",0,Mexico,
Pasilla Pepper,"1,500",3,Mexico,
Peach Bhut Jolokia Ghost Pepper Seeds,"10,41,427",1,India,Capsicum Chinense Capsicum Frutescens
Peperone Di Senise Pepper,0,0,,
Peppadew Pepper (Piquante Pepper),"1,177",0,,
Pepper (Natural Flavoring),N/A,3,,
Pepper (Puree),N/A,3,,
Pepper B,N/A,1,,
Pepper Extract,N/A,17,,
Pepper Extract (3 Million Scoville),"30,00,000",4,,
Pepper Herbs,N/A,1,,
Pepper X,"31,80,000",5,United States of America,
Pepper X (Chocolate),"31,80,000",2,United States of America,
Pepper X (Peach),"31,80,000",1,United States of America,
Peppercorn (Pink),N/A,1,,
Pepperoncini Pepper,300,1,,
Peppers (60 Percent),N/A,1,,
Peppers (Generic),N/A,60,,
Pequin Pepper,"49,000",5,,
Pequin Pepper (African),"57,000",0,,
Pequin Pepper (Firecracker),"35,000",0,,
Peri Peri Pepper,"1,12,500",5,,
Peri-Peri Chili Peppers,"1,12,500",4,,
Peruvian Purple Pepper,"70,000",0,,
Peruvian White Habanero Pepper Seeds,N/A,1,Peru,
Peter Pepper,"20,000",0,,
Pico De Pajaro Pepper,"85,000",0,,
Pimenta Biquinho Pepper (Little Beak Pepper),750,0,,
Pimenta De Bode Pepper,"40,000",0,Brazil,
Pimenta De Neyde Pepper,"1,75,000",0,Brazil,
Pimiento Pepper (Pimento),300,3,,
Pingo De Ouro Pepper,"5,00,000",0,,
Piquillo Pepper,750,0,,
Piquin Dried Peppers,"45,000",2,,
Piquin Pepper,"45,000",6,,
Poblano Pepper,"1,250",4,Mexico,
Poblano Pepper Flavor,N/A,1,Mexico,
Poblano Peppers (Fire Roasted),"1,250",2,Mexico,Capsicum Annuum
Poinsettia Pepper,"17,500",0,,
Prairie Fire Pepper,"70,000",0,,
Premium Pure Oleoresin Capsicum Pepper,N/A,1,,
Pretty Purple Pepper,"8,000",0,,
Prik Kee Noo Pepper (Prik Ki Nu),"1,75,000",0,,
Prometheus Springs Pepper,"2,500",0,,
Pulla Pepper,"6,500",0,,
Pure Carolina Reaper Powder Pepper,"15,69,300",1,United States of America,Capsicum Chinense
Pure Dried Ghost Naga Morich Pepper,"10,41,427",1,Bangladesh,
Pure Ground Ghost Chiles Pepper,"10,41,427",1,India,Capsicum Chinense Capsicum Frutescens
Pure Ground Scorpion Chiles Pepper,N/A,1,,
Pure Jamaican Scotch Bonnet Chili Powder Pepper,"2,25,000",2,Jamaica,Capsicum Chinense
Pure Moruga Scorpion Chili Powder Pepper,"12,00,000",1,Trinidad and Tobago,Capsicum Chinense
Pure Pepper Extract (1 Million Scoville),N/A,1,,
Pure Pepper Extract (2 Million Scoville),N/A,1,,
Pure Pepper Extract (3 Million Scoville),N/A,1,,
Pure Smoked Ghost Chili Powder Pepper,"10,41,427",1,India,Capsicum Chinense Capsicum Frutescens
Pure Trinidad Scorpion Pepper Powder,N/A,2,Trinidad and Tobago,
Purira Chile Pepper,"65,000",0,,
Purira Chiles Pepper,"65,000",1,,
Purple Beauty Pepper,0,0,,
Purple Prince Pepper,"50,000",0,,
Purple Tiger ‘Trifetti’ Pepper,"7,000",0,,
Pusa Jwala Pepper,"40,000",0,,
Puya Pepper,"17,500",0,,
Quintisho Pepper,"17,500",0,,
Rainforest Pepper,"30,000",1,,
Raja Mirch Pepper,"8,50,000",0,,
Raja Mirchi Chile Peppers,"9,20,714",0,,
Reaper Chiles Pepper,"15,69,300",1,United States of America,Capsicum Chinense
Red 7-Pot Peppers,N/A,5,Trinidad and Tobago,
Red 7-Pot Primo Pepper Mash,N/A,4,Trinidad and Tobago,
Red Cheese Pepper,"2,00,000",0,,
Red Chile Puree Pepper,N/A,2,,
Red Chili Peppers,N/A,15,,
Red Chili Peppers (Dried),N/A,3,Mexico,
Red Chili Puree Pepper,N/A,5,,
Red Habanero Chillies Pepper,N/A,6,Brazil,
Red Habanero Pods Pepper,N/A,2,Brazil,
Red Hot Chiles Pepper,N/A,2,Mexico,
Red Jalapeno Pepper Puree,"3,550",5,Mexico,Capsicum Annuum
Red Pepper Flakes,"40,000",3,,
Red Pepper Puree,N/A,2,,
Red Peppers (Generic),N/A,57,,
Red Peppers (Roasted),N/A,16,,Capsicum Annuum
Red Ripe Peppers,N/A,2,Mexico,
Red Savina Mash Pepper,"4,63,500",5,United States of America,Capsicum Chinense
Red Scotch Bonnet Pepper Seeds,"2,25,000",1,,Capsicum Chinense
Red Serrano Chiles Pepper,"17,500",3,Mexico,
Red Squash Pepper,"50,000",0,,
Red Tabasco Pepper Pulp,N/A,1,,
Rezha Macedonian Pepper,"4,500",0,,
Rhomboideum Pepper,0,0,Mexico,Capsicum Rhomboideum
Ring Of Fire Pepper,"50,000",0,,
Ripe Red Jalapeno Peppers,"5,250",3,Mexico,
Ripened Habanero Peppers,"2,25,000",2,Mexico,
Roasted Red Bell Peppers,N/A,1,Mexico,Capsicum Annuum
Roasted Serrano Chile Pepper,"16,500",1,Mexico,Capsicum Annuum
Rocotillo Pepper,"2,000",0,,
Rocoto Pepper,"1,50,000",0,,Capsicum Pubescens
Romanian Hot Pepper,"1,400",0,,
Rooster Spur Pepper,"40,000",0,,
Royal Black Pepper,"17,500",0,,
San Ardo Pepper,"2,750",0,,
Sandia Pepper,"2,000",2,,
Sangria Pepper,"3,000",0,,
Santa Fe Grande Pepper,600,0,,
Santaka Pepper,"40,000",0,,
Satans Kiss Pepper,"45,000",0,,
Scorpion Pepper,"12,00,000",36,,Capsicum Chinense
Scorpion Pepper (Yellow),"12,00,000",3,Trinidad and Tobago,Capsicum Chinense
Scorpion Pepper Mash,"12,31,850",2,United States of America,Capsicum Chinense
Scorpion Pepper Powder,N/A,2,,
Scorpion Pepper Seeds,"12,00,000",1,,
Scorpion Peppers Pods,N/A,1,Trinidad and Tobago,
Scotch Bonnet Pepper,"2,12,500",54,,
Scotch Bonnet Pepper (Aged Pickled),"2,40,000",4,,Capsicum Chinense
Scotch Bonnet Pepper (Mash),"2,12,500",2,,Capsicum Chinense
Scotch Bonnet Pepper (Red),"2,40,000",7,Mexico,Capsicum Chinense
Scotch Bonnet Pepper (Yellow),"2,40,000",5,Jamaica,Capsicum Chinense
Selected Red Chili Pepper,N/A,1,Montenegro,
Serrano (Smoked) Pepper,"16,500",2,Mexico,
Serrano Chiles Pepper,"16,500",8,Mexico,Capsicum Annuum
Serrano Huasteco Pepper,"16,500",0,Mexico,
Serrano Pepper,"16,500",48,Mexico,
Serrano Pepper (Applewood Smoked Green),"16,500",1,Mexico,
Serrano Pepper (Green),"16,500",2,Mexico,Capsicum Annuum
Serrano Pepper (Red),N/A,8,Mexico,
Serrano Peppers (Crushed),"16,500",2,Mexico,Capsicum Annuum
Serrano Puree Pepper,N/A,1,Mexico,
Shipka Pepper (Bulgarian Carrot),"17,500",0,,
Shishito Pepper,550,0,,
Sichuan Pepper,N/A,1,,
Siling Haba Pepper,"50,000",0,,
Siling Labuyo Pepper,"90,000",0,,
Simla Mirch Pepper,N/A,0,,
Smoked Ghost Chile Powder Pepper,"10,41,427",1,India,Capsicum Chinense Capsicum Frutescens
Smoked Jalapeno Peppers (Chipotle),N/A,1,Mexico,
Smoked Red Jalapeños Pepper,"5,250",7,Mexico,Capsicum Annuum
Smokin’ Ed’S Carolina Reaper Chillies Pepper,"15,69,300",3,United States of America,Capsicum Chinense
Smoky Pepper,N/A,1,,
Sonora Chile Pepper,450,0,,
Sparkler Pepper,"1,60,000",0,,
Spice Mix Pepper,N/A,1,,
Sport Pepper,"16,500",0,,
Sriracha Pepper,"1,750",1,,
Sticky Chipolte Pepper,"5,250",1,Mexico,
Stone Soup Hot Pepper Mash,N/A,1,United States of America,
Super Chile Pepper,"45,000",0,,
Super-Hot Red 7-Pot Primo Peppers,N/A,1,Trinidad and Tobago,
Superior Pepper Extract,N/A,1,,
Sweet Green Peppers,N/A,1,,
Sweet Pepper (Generic),N/A,8,,
Sweet Pepper (Roasted),N/A,1,,Capsicum Annuum
Sweet Red Pepper,N/A,4,,
Tabasco Pepper,"40,000",3,,
Tabasco Pepper (Aged Red),"40,000",1,Mexico,Capsicum Frutescens
Tabasco Pepper (Powder),"40,000",1,Mexico,
Tabasco Pepper Mash,"40,000",2,Mexico,Capsicum Frutescens
Tabiche Pepper,"1,00,000",0,,
Takanotsume Pepper,"30,000",0,,
Tam Mild Jalapeno Pepper,"1,250",0,United States of America,Capsicum Annuum
Tamarind Chile Paste Pepper,N/A,1,,
Tampiqueno Pepper,"22,500",0,,
Tangerine Dream Pepper,50,0,,
Tears Of Fire Pepper,"20,000",0,,
Tennessee Pepper,"40,000",0,,
Thai Burapa Pepper,"75,000",0,Thailand,Capsicum Annuum
Thai Chile Peppers,"75,000",3,Thailand,Capsicum Annuum
Thai Chili Pepper,"75,000",1,Thailand,Capsicum Annuum
Thai Dragon Pepper (Thai Volcano),"75,000",0,Thailand,Capsicum Annuum
Thai Ornamental Pepper,"75,000",0,Guam,
Thai Pepper,"75,000",8,Thailand,Capsicum Annuum
Thai Pepper (Orange),"75,000",0,Thailand,Capsicum Annuum
Thai Pepper (Red),"75,000",0,Thailand,Capsicum Annuum
Thai Pepper (Yellow),"75,000",0,Thailand,Capsicum Annuum
Thai Sun Pepper,"75,000",0,Thailand,Capsicum Annuum
Thai Super Chili Pepper,"75,000",0,Thailand,Capsicum Annuum
Tianying Pepper,"25,000",0,,
Tien Tsin Pepper (Tianjin),"62,500",2,,
Tobago Seasoning Pepper,500,0,,
Tobasco Pepper (Red),"40,000",1,Mexico,Capsicum Frutescens
Togarashi (Generic) Pepper,N/A,2,,
Tricolor Variegata Pepper,"17,500",0,,
Trinidad (Generic) Pepper,N/A,2,Trinidad and Tobago,
Trinidad 7-Pot Cardi Strain Pepper,"8,50,000",0,Trinidad and Tobago,
Trinidad 7-Pot Jonah Pepper,"10,00,000",0,Trinidad and Tobago,
Trinidad 7-Pot Pepper,"11,00,000",2,Venezuela,
Trinidad 7-Pot Primo Pepper,"14,69,000",9,Trinidad and Tobago,
Trinidad Dougla Pepper,N/A,1,Trinidad and Tobago,
Trinidad Moruga Powder Pepper,N/A,2,Trinidad and Tobago,
Trinidad Moruga Red Pepper,"12,00,000",1,Trinidad and Tobago,Capsicum Chinense
Trinidad Moruga Scorpion Pepper,"12,00,000",9,Trinidad and Tobago,
Trinidad Moruga Scorpion Pepper (Yellow),"12,00,000",1,Trinidad and Tobago,Capsicum Chinense
Trinidad Perfume Pepper,250,0,Trinidad and Tobago,
Trinidad Scorpion (Chocolate) Pepper,"16,00,000",1,Trinidad and Tobago,
Trinidad Scorpion 7-Pot Peppers,"12,00,000",1,Trinidad and Tobago,
Trinidad Scorpion Butch T-Pepper,"12,31,850",6,Trinidad and Tobago,
Trinidad Scorpion Pepper Mash,"12,31,850",5,United States of America,Capsicum Chinense
Trinidad Scorpion Peppers,N/A,34,Trinidad and Tobago,
Trinidad Yellow 7-Pot Pepper,"5,50,000",1,Trinidad and Tobago,
Trinidad Yellow Scorpion Pepper,"5,00,000",3,Trinidad and Tobago,
Truff Chilli Blend Pepper,N/A,1,,
Ubatuba Cambuci Pepper,"5,048",0,,
Urfa Biber Pepper,"40,000",1,,
Vegan Pepper Blend,N/A,1,,
Volcano Pepper,"3,500",0,,
White Pepper,N/A,12,,
Wild Baccatum Pepper,"32,500",0,,
Xvill Pepper,N/A,1,,Capsicum Chinense
Yatsufusa Chile Pepper (Yatzy),"57,500",0,,
Yellow 7-Pot Pepper,N/A,1,Trinidad and Tobago,
Yellow Chile Pepper (Generic),N/A,1,,
Yellow Chilli Pepper,N/A,1,,
Yellow Habanero (Yellow) Pepper,"2,25,000",1,Brazil,
Yellow Moruga Peppers,"12,00,000",1,Trinidad and Tobago,Capsicum Chinense
Yellow Trinidad 7-Pot Pepper,N/A,1,Trinidad and Tobago,
Yellow-7 Chilli Pepper,N/A,1,,
Zimbabwe Bird Chili Pepper,"2,75,000",0,Zimbabwe,Capsicum Annuum
