Hot Peppers,,,,
Ingredients,,,,
Manufacturers,,,,
Recipes,,,,
Cultivars,,,,
Reviews,,,,
Flavors,,,,
Hot Pepper Common Name ↕,Avg SHU ↕,# of Recipes ↕,Origin Country,Cultivar
Bahamian Pepper,"1,02,500",0,Bahamas,Capsicum Annuum
Balãozinho Pepper,"15,000",0,Brazil,Capsicum Chinense
Baldi Pepper,500,0,Lebanon,Capsicum Annuum
Balloon Pepper,"50,000",0,Brazil,Capsicum Baccatum
"Banana Pepper (Ooty Chili, Yellow Wax Pepper)",250,5,United States of America,Capsicum Annuum
Banjul Markets Gambia Pepper,"3,75,000",0,Gambia,Capsicum Annuum
Barker's Hot Pepper,"22,500",0,United States of America,Capsicum Annuum
Basque Fryer Pepper,0,0,France,
Beaver Dam Pepper,750,0,Hungary,Capsicum Annuum
Bedfordshire Super Naga Pepper,"10,10,000",0,United Kingdom,Capsicum Chinense
Bedgi Pepper (Byadagi),"1,000",0,India,Capsicum Annuum
Bell Pepper,0,27,Hungary,Capsicum Annuum
Bell Pepper (Diced),N/A,1,Mexico,
Bell Pepper (Green),0,14,Hungary,Capsicum Annuum
Bell Pepper (Orange),0,1,Hungary,Capsicum Annuum
Bell Pepper (Red),0,28,Hungary,Capsicum Annuum
Bell Pepper (Roasted),N/A,3,Hungary,
Bell Pepper (Sweet Red),N/A,1,Mexico,
Bell Pepper (Yellow),N/A,7,Hungary,Capsicum Annuum
Bell Peppers (Dehydrated),N/A,1,Hungary,Capsicum Annuum
Beni Highland Pepper,"42,600",0,Bolivia,Capsicum Chinense
Berbere Pepper,"30,000",0,Ethiopia,Capsicum Annuum
Bermuda Pepper,"5,000",0,Bermuda,Capsicum Annuum
Beslers Cherry Pepper,"30,000",0,Brazil,Capsicum Annuum
Bhut Jolokia (Red) Pepper,N/A,2,India,Capsicum Chinense
Bhut Jolokia Chiles Pepper,"10,41,427",12,India,Capsicum Chinense
Bhut Jolokia Flakes Pepper,"10,41,427",1,India,Capsicum Chinense Capsicum Frutescens
Bhut Jolokia Indian Carbon Pepper,"10,00,000",0,India,Capsicum Chinense
Bhut Jolokia Pepper (Chocolate),N/A,2,India,Capsicum Chinense
Bhut Jolokia Pepper (Dried),"10,41,427",1,India,Capsicum Chinense Capsicum Frutescens
Bhut Jolokia Pepper (Ghost Pepper),"10,41,427",58,India,Capsicum Chinense
Bhut Jolokia Pepper (Yellow),"10,41,427",5,India,Capsicum Chinense
Bhut Naga Jolokia Chiles Pepper,"10,41,427",2,India,
Bhutlah Pepper (Chocolate),"10,41,427",1,United States of America,Capsicum Chinense
Big Jim Heritage Pepper,"4,000",2,United States of America,Capsicum Annuum
Big Sun Habanero Pepper,"3,25,000",0,Brazil,
Bird's Eye Chili Pepper,"75,000",15,Guyana,Capsicum Annuum
Bird's Eye Chili Pepper (Powder),"75,000",1,Mexico,Capsicum Annuum
